# Ghidra 11.4.1 - suspicious path/registry/network strings in KG.exe
# Total suspicious: 507
# Total decompiled funcs: 6

[004a27f4] (13 bytes) kernel32.dll
[004a2801] (13 bytes) kernel32.dll
[004a280e] (12 bytes) Shell32.dll
[004a281a] (13 bytes) kernel32.dll
[004a2827] (13 bytes) Kernel32.dll
[004a2834] (13 bytes) kernel32.dll
[004a2841] (11 bytes) msvcrt.dll
[004a284c] (13 bytes) kernel32.dll
[004a2859] (13 bytes) kernel32.dll
[004a2866] (13 bytes) advapi32.dll
[004a2873] (13 bytes) advapi32.dll
[004a2880] (13 bytes) Advapi32.dll
[004a288d] (13 bytes) kernel32.dll
[004a289a] (13 bytes) kernel32.dll
[004a28a7] (13 bytes) kernel32.dll
[004a28b4] (13 bytes) kernel32.dll
[004a28c1] (13 bytes) Kernel32.dll
[004a28ce] (12 bytes) shlwapi.dll
[004a5d49] (17 bytes) LeagueClient.exe
[004a5d5a] (23 bytes) RiotClientServices.exe
[004a5d79] (18 bytes) C:\Windows\DJ.dat
[004a5d8b] (58 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\ACE-SSC64.dll
[004a5dc5] (62 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\ACE-SSC-DRV64.sys
[004a5e03] (52 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\123.dll
[004a5e37] (55 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\sguard.dat
[004a5e6e] (8 bytes) \LY.ini
[004a5e76] (56 bytes) C:\Program Files\AntiCheatExpert\SGuard\x64\netbios.dll
[004a5eae] (13 bytes) /version.dll
[004a5ebb] (27 bytes) /League of Legends.exe.ini
[004a5ed6] (27 bytes) /League of Legends.exe.lic
[004a5ef9] (19 bytes) /SProtectSDK64.dll
[004a5f0c] (54 bytes) \Program Files\AntiCheatExpert\SGuard\x64\netbios.dll
[004a5f42] (50 bytes) \Program Files\AntiCheatExpert\SGuard\x64\123.dll
[004a6036] (13 bytes) /TerSafe.dll
[004a6ea8] (24 bytes) VERSION.dll
[004a75cb] (12 bytes) VERSION.dll
[004a82f6] (14 bytes) GetSystemInfo
[004a837e] (26 bytes) GetSystemTimeAsFileTime
[004a8a58] (20 bytes) GetSystemDirectoryW
[004a8f3c] (13 bytes) KERNEL32.dll
[004a8f49] (11 bytes) USER32.dll
[004a8f54] (10 bytes) GDI32.dll
[004a8f5e] (10 bytes) ole32.dll
[004a8f68] (13 bytes) COMCTL32.dll
[004a8f75] (10 bytes) ntdll.dll
[004a8f7f] (12 bytes) gdiplus.dll
[004a8f8b] (11 bytes) WS2_32.dll
[00625088] (13 bytes) KERNEL32.dll
[00625119] (14 bytes) GetSystemInfo
[006251a4] (24 bytes) GetSystemTimeAsFileTime
[006258ab] (20 bytes) GetSystemDirectoryW
[006259b6] (11 bytes) USER32.dll
[00625add] (10 bytes) GDI32.dll
[00625b7c] (10 bytes) ole32.dll
[00625bcf] (13 bytes) COMCTL32.dll
[00625c28] (10 bytes) ntdll.dll
[00625c59] (12 bytes) gdiplus.dll
[00625e37] (11 bytes) WS2_32.dll
[0062f90c] (62 bytes) \SystemRoot\system32\ntdll.dll
[006a9354] (62 bytes) \SystemRoot\system32\ntdll.dll
[006aeaa4] (62 bytes) \SystemRoot\system32\ntdll.dll
[01204a6c] (57 bytes) \Program Files\AntiCheatExpert\SGuard\x64\Plugins\sg.dll
[01204aa5] (12 bytes) netbios.dll
[01204ab1] (15 bytes) Plugins\sg.dll
[01204ac0] (25 bytes) LeagueClient\netbios.dll
[01204ad9] (43 bytes) \AntiCheatExpert\SGuard\x64\Plugins\sg.dll
[0124a51c] (24 bytes) dbghelp.dll
[0124a5b4] (24 bytes) MSCOREE.DLL
[0124a66c] (68 bytes) api-ms-win-core-synch-l1-2-0.dll
[0124b28c] (28 bytes) `virtual displacement map'
[0124b3bc] (28 bytes) `placement delete closure'
[0124b3dc] (32 bytes) `placement delete[] closure'
[0124b65c] (24 bytes) `anonymous namespace'
[0124b804] (24 bytes) mscoree.dll
[0124d90c] (64 bytes) api-ms-win-core-sysinfo-l1-2-1
[0124da1c] (88 bytes) api-ms-win-security-systemfunctions-l1-1-0
[01257d14] (20 bytes) ntdll.dll
[01257e64] (28 bytes) kernel32.dll
[01258054] (28 bytes) \version.dll
[01258204] (36 bytes) C:\Windows\DJ.dat
[01258254] (32 bytes) \ACE-SSC64.dll
[012582c4] (28 bytes) KERNEL32.dll
[01264344] (28 bytes) KERNEL32.DLL
[01264364] (40 bytes) \ACE-SSC-DRV64.sys
[012643a4] (28 bytes) ACE-SSC64.dll
[012649cc] (48 bytes) GetSystemTimeAsFileTime
[012649fc] (32 bytes) KERNELBase.dll
[01265374] (16 bytes) LdrGetDllHandle
[01265384] (12 bytes) LdrLoadDll
[01265394] (16 bytes) LdrUnloadDll
